relative_path,file_name,folder,width,height,channels,has_alpha,suggested_category,suggested_object,next_step_usefulness
reanim/Blover_stem1.png,Blover_stem1.png,reanim,,,,False,plant,blover,high_for_plant_reference
reanim/Blover_stem2.png,Blover_stem2.png,reanim,,,,False,plant,blover,high_for_plant_reference
reanim/Cabbagepult_basket.png,Cabbagepult_basket.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_basket_overlay.png,Cabbagepult_basket_overlay.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_basketvine1.png,Cabbagepult_basketvine1.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_basketvine2.png,Cabbagepult_basketvine2.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_basketvine3.png,Cabbagepult_basketvine3.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_basketvine4.png,Cabbagepult_basketvine4.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_blink1.png,Cabbagepult_blink1.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_blink2.png,Cabbagepult_blink2.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_cabbage.png,Cabbagepult_cabbage.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_eyebrow.png,Cabbagepult_eyebrow.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_eyebrow1.png,Cabbagepult_eyebrow1.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_eyebrow2.png,Cabbagepult_eyebrow2.png,reanim,,,,False,plant,cabbage_pult,medium_for_plant_reference
reanim/Cabbagepult_head.png,Cabbagepult_head.png,reanim,,,,False,plant,cabbage_pult,high_for_plant_reference
